id,value,cat
5339,2669.5,b
5340,2670.0,a
5341,2670.5,b
5342,2671.0,a
5343,2671.5,b
5344,2672.0,a
5345,2672.5,b
5346,2673.0,a
5347,2673.5,b
5348,2674.0,a
5349,2674.5,b
5350,2675.0,a
5351,2675.5,b
5352,2676.0,a
5353,2676.5,b
5354,2677.0,a
5355,2677.5,b
5356,2678.0,a
5357,2678.5,b
5358,2679.0,a
5359,2679.5,b
5360,2680.0,a
5361,2680.5,b
5362,2681.0,a
5363,2681.5,b
5364,2682.0,a
5365,2682.5,b
5366,2683.0,a
5367,2683.5,b
5368,2684.0,a
5369,2684.5,b
5370,2685.0,a
5371,2685.5,b
5372,2686.0,a
5373,2686.5,b
5374,2687.0,a
5375,2687.5,b
5376,2688.0,a
5377,2688.5,b
5378,2689.0,a
5379,2689.5,b
5380,2690.0,a
5381,2690.5,b
5382,2691.0,a
5383,2691.5,b
5384,2692.0,a
5385,2692.5,b
5386,2693.0,a
5387,2693.5,b
5388,2694.0,a
5389,2694.5,b
5390,2695.0,a
5391,2695.5,b
5392,2696.0,a
5393,2696.5,b
5394,2697.0,a
5395,2697.5,b
5396,2698.0,a
5397,2698.5,b
5398,2699.0,a
5399,2699.5,b
5400,2700.0,a
5401,2700.5,b
5402,2701.0,a
5403,2701.5,b
5404,2702.0,a
5405,2702.5,b
5406,2703.0,a
5407,2703.5,b
5408,2704.0,a
5409,2704.5,b
5410,2705.0,a
5411,2705.5,b
5412,2706.0,a
5413,2706.5,b
5414,2707.0,a
5415,2707.5,b
5416,2708.0,a
5417,2708.5,b
5418,2709.0,a
5419,2709.5,b
5420,2710.0,a
5421,2710.5,b
5422,2711.0,a
5423,2711.5,b
5424,2712.0,a
5425,2712.5,b
5426,2713.0,a
5427,2713.5,b
5428,2714.0,a
5429,2714.5,b
5430,2715.0,a
5431,2715.5,b
5432,2716.0,a
5433,2716.5,b
5434,2717.0,a
5435,2717.5,b
5436,2718.0,a
5437,2718.5,b
5438,2719.0,a
5439,2719.5,b
5440,2720.0,a
5441,2720.5,b
5442,2721.0,a
5443,2721.5,b
5444,2722.0,a
5445,2722.5,b
5446,2723.0,a
5447,2723.5,b
5448,2724.0,a
5449,2724.5,b
5450,2725.0,a
5451,2725.5,b
5452,2726.0,a
5453,2726.5,b
5454,2727.0,a
5455,2727.5,b
5456,2728.0,a
5457,2728.5,b
5458,2729.0,a
5459,2729.5,b
5460,2730.0,a
5461,2730.5,b
5462,2731.0,a
5463,2731.5,b
5464,2732.0,a
5465,2732.5,b
5466,2733.0,a
5467,2733.5,b
5468,2734.0,a
5469,2734.5,b
5470,2735.0,a
5471,2735.5,b
5472,2736.0,a
5473,2736.5,b
5474,2737.0,a
5475,2737.5,b
5476,2738.0,a
5477,2738.5,b
5478,2739.0,a
5479,2739.5,b
5480,2740.0,a
5481,2740.5,b
5482,2741.0,a
5483,2741.5,b
5484,2742.0,a
5485,2742.5,b
5486,2743.0,a
5487,2743.5,b
5488,2744.0,a
5489,2744.5,b
5490,2745.0,a
5491,2745.5,b
5492,2746.0,a
5493,2746.5,b
5494,2747.0,a
5495,2747.5,b
5496,2748.0,a
5497,2748.5,b
5498,2749.0,a
5499,2749.5,b
5500,2750.0,a
5501,2750.5,b
5502,2751.0,a
5503,2751.5,b
5504,2752.0,a
5505,2752.5,b
5506,2753.0,a
5507,2753.5,b
5508,2754.0,a
5509,2754.5,b
5510,2755.0,a
5511,2755.5,b
5512,2756.0,a
5513,2756.5,b
5514,2757.0,a
5515,2757.5,b
5516,2758.0,a
5517,2758.5,b
5518,2759.0,a
5519,2759.5,b
5520,2760.0,a
5521,2760.5,b
5522,2761.0,a
5523,2761.5,b
5524,2762.0,a
5525,2762.5,b
5526,2763.0,a
5527,2763.5,b
5528,2764.0,a
5529,2764.5,b
5530,2765.0,a
5531,2765.5,b
5532,2766.0,a
5533,2766.5,b
5534,2767.0,a
5535,2767.5,b
5536,2768.0,a
5537,2768.5,b
5538,2769.0,a
5539,2769.5,b
5540,2770.0,a
5541,2770.5,b
5542,2771.0,a
5543,2771.5,b
5544,2772.0,a
5545,2772.5,b
5546,2773.0,a
5547,2773.5,b
5548,2774.0,a
5549,2774.5,b
5550,2775.0,a
5551,2775.5,b
5552,2776.0,a
5553,2776.5,b
5554,2777.0,a
5555,2777.5,b
5556,2778.0,a
5557,2778.5,b
5558,2779.0,a
5559,2779.5,b
5560,2780.0,a
5561,2780.5,b
5562,2781.0,a
5563,2781.5,b
5564,2782.0,a
5565,2782.5,b
5566,2783.0,a
5567,2783.5,b
5568,2784.0,a
5569,2784.5,b
5570,2785.0,a
5571,2785.5,b
5572,2786.0,a
5573,2786.5,b
5574,2787.0,a
5575,2787.5,b
5576,2788.0,a
5577,2788.5,b
5578,2789.0,a
5579,2789.5,b
5580,2790.0,a
5581,2790.5,b
5582,2791.0,a
5583,2791.5,b
5584,2792.0,a
5585,2792.5,b
5586,2793.0,a
5587,2793.5,b
5588,2794.0,a
5589,2794.5,b
5590,2795.0,a
5591,2795.5,b
5592,2796.0,a
5593,2796.5,b
5594,2797.0,a
5595,2797.5,b
5596,2798.0,a
5597,2798.5,b
5598,2799.0,a
5599,2799.5,b
5600,2800.0,a
5601,2800.5,b
5602,2801.0,a
5603,2801.5,b
5604,2802.0,a
5605,2802.5,b
5606,2803.0,a
5607,2803.5,b
5608,2804.0,a
5609,2804.5,b
5610,2805.0,a
5611,2805.5,b
5612,2806.0,a
5613,2806.5,b
5614,2807.0,a
5615,2807.5,b
5616,2808.0,a
5617,2808.5,b
5618,2809.0,a
5619,2809.5,b
5620,2810.0,a
5621,2810.5,b
5622,2811.0,a
5623,2811.5,b
5624,2812.0,a
5625,2812.5,b
5626,2813.0,a
5627,2813.5,b
5628,2814.0,a
5629,2814.5,b
5630,2815.0,a
5631,2815.5,b
5632,2816.0,a
5633,2816.5,b
5634,2817.0,a
5635,2817.5,b
5636,2818.0,a
5637,2818.5,b
5638,2819.0,a
5639,2819.5,b
5640,2820.0,a
5641,2820.5,b
5642,2821.0,a
5643,2821.5,b
5644,2822.0,a
5645,2822.5,b
5646,2823.0,a
5647,2823.5,b
5648,2824.0,a
5649,2824.5,b
5650,2825.0,a
5651,2825.5,b
5652,2826.0,a
5653,2826.5,b
5654,2827.0,a
5655,2827.5,b
5656,2828.0,a
5657,2828.5,b
5658,2829.0,a
5659,2829.5,b
5660,2830.0,a
5661,2830.5,b
5662,2831.0,a
5663,2831.5,b
5664,2832.0,a
5665,2832.5,b
5666,2833.0,a
5667,2833.5,b
5668,2834.0,a
5669,2834.5,b
5670,2835.0,a
5671,2835.5,b
5672,2836.0,a
5673,2836.5,b
5674,2837.0,a
5675,2837.5,b
5676,2838.0,a
5677,2838.5,b
5678,2839.0,a
5679,2839.5,b
5680,2840.0,a
5681,2840.5,b
5682,2841.0,a
5683,2841.5,b
5684,2842.0,a
5685,2842.5,b
5686,2843.0,a
5687,2843.5,b
5688,2844.0,a
5689,2844.5,b
5690,2845.0,a
5691,2845.5,b
5692,2846.0,a
5693,2846.5,b
5694,2847.0,a
5695,2847.5,b
5696,2848.0,a
5697,2848.5,b
5698,2849.0,a
5699,2849.5,b
5700,2850.0,a
5701,2850.5,b
5702,2851.0,a
5703,2851.5,b
5704,2852.0,a
5705,2852.5,b
5706,2853.0,a
5707,2853.5,b
5708,2854.0,a
5709,2854.5,b
5710,2855.0,a
5711,2855.5,b
5712,2856.0,a
5713,2856.5,b
5714,2857.0,a
5715,2857.5,b
5716,2858.0,a
5717,2858.5,b
5718,2859.0,a
5719,2859.5,b
5720,2860.0,a
5721,2860.5,b
5722,2861.0,a
5723,2861.5,b
5724,2862.0,a
5725,2862.5,b
5726,2863.0,a
5727,2863.5,b
5728,2864.0,a
5729,2864.5,b
5730,2865.0,a
5731,2865.5,b
5732,2866.0,a
5733,2866.5,b
5734,2867.0,a
5735,2867.5,b
5736,2868.0,a
5737,2868.5,b
5738,2869.0,a
5739,2869.5,b
5740,2870.0,a
5741,2870.5,b
5742,2871.0,a
5743,2871.5,b
5744,2872.0,a
5745,2872.5,b
5746,2873.0,a
5747,2873.5,b
5748,2874.0,a
5749,2874.5,b
5750,2875.0,a
5751,2875.5,b
5752,2876.0,a
5753,2876.5,b
5754,2877.0,a
5755,2877.5,b
5756,2878.0,a
5757,2878.5,b
5758,2879.0,a
5759,2879.5,b
5760,2880.0,a
5761,2880.5,b
5762,2881.0,a
5763,2881.5,b
5764,2882.0,a
5765,2882.5,b
5766,2883.0,a
5767,2883.5,b
5768,2884.0,a
5769,2884.5,b
5770,2885.0,a
5771,2885.5,b
5772,2886.0,a
5773,2886.5,b
5774,2887.0,a
5775,2887.5,b
5776,2888.0,a
5777,2888.5,b
5778,2889.0,a
5779,2889.5,b
5780,2890.0,a
5781,2890.5,b
5782,2891.0,a
5783,2891.5,b
5784,2892.0,a
5785,2892.5,b
5786,2893.0,a
5787,2893.5,b
5788,2894.0,a
5789,2894.5,b
5790,2895.0,a
5791,2895.5,b
5792,2896.0,a
5793,2896.5,b
5794,2897.0,a
5795,2897.5,b
5796,2898.0,a
5797,2898.5,b
5798,2899.0,a
5799,2899.5,b
5800,2900.0,a
5801,2900.5,b
5802,2901.0,a
5803,2901.5,b
5804,2902.0,a
5805,2902.5,b
5806,2903.0,a
5807,2903.5,b
5808,2904.0,a
5809,2904.5,b
5810,2905.0,a
5811,2905.5,b
5812,2906.0,a
5813,2906.5,b
5814,2907.0,a
5815,2907.5,b
5816,2908.0,a
5817,2908.5,b
5818,2909.0,a
5819,2909.5,b
5820,2910.0,a
5821,2910.5,b
5822,2911.0,a
5823,2911.5,b
5824,2912.0,a
5825,2912.5,b
5826,2913.0,a
5827,2913.5,b
5828,2914.0,a
5829,2914.5,b
5830,2915.0,a
5831,2915.5,b
5832,2916.0,a
5833,2916.5,b
5834,2917.0,a
5835,2917.5,b
5836,2918.0,a
5837,2918.5,b
5838,2919.0,a
5839,2919.5,b
5840,2920.0,a
5841,2920.5,b
5842,2921.0,a
5843,2921.5,b
5844,2922.0,a
5845,2922.5,b
5846,2923.0,a
5847,2923.5,b
5848,2924.0,a
5849,2924.5,b
5850,2925.0,a
5851,2925.5,b
5852,2926.0,a
5853,2926.5,b
5854,2927.0,a
5855,2927.5,b
5856,2928.0,a
5857,2928.5,b
5858,2929.0,a
5859,2929.5,b
5860,2930.0,a
5861,2930.5,b
5862,2931.0,a
5863,2931.5,b
5864,2932.0,a
5865,2932.5,b
5866,2933.0,a
5867,2933.5,b
5868,2934.0,a
5869,2934.5,b
5870,2935.0,a
5871,2935.5,b
5872,2936.0,a
5873,2936.5,b
5874,2937.0,a
5875,2937.5,b
5876,2938.0,a
5877,2938.5,b
5878,2939.0,a
5879,2939.5,b
5880,2940.0,a
5881,2940.5,b
5882,2941.0,a
5883,2941.5,b
5884,2942.0,a
5885,2942.5,b
5886,2943.0,a
5887,2943.5,b
5888,2944.0,a
5889,2944.5,b
5890,2945.0,a
5891,2945.5,b
5892,2946.0,a
5893,2946.5,b
5894,2947.0,a
5895,2947.5,b
5896,2948.0,a
5897,2948.5,b
5898,2949.0,a
5899,2949.5,b
5900,2950.0,a
5901,2950.5,b
5902,2951.0,a
5903,2951.5,b
5904,2952.0,a
5905,2952.5,b
5906,2953.0,a
5907,2953.5,b
5908,2954.0,a
5909,2954.5,b
5910,2955.0,a
5911,2955.5,b
5912,2956.0,a
5913,2956.5,b
5914,2957.0,a
5915,2957.5,b
5916,2958.0,a
5917,2958.5,b
5918,2959.0,a
5919,2959.5,b
5920,2960.0,a
5921,2960.5,b
5922,2961.0,a
5923,2961.5,b
5924,2962.0,a
5925,2962.5,b
5926,2963.0,a
5927,2963.5,b
5928,2964.0,a
5929,2964.5,b
5930,2965.0,a
5931,2965.5,b
5932,2966.0,a
5933,2966.5,b
5934,2967.0,a
5935,2967.5,b
5936,2968.0,a
5937,2968.5,b
5938,2969.0,a
5939,2969.5,b
5940,2970.0,a
5941,2970.5,b
5942,2971.0,a
5943,2971.5,b
5944,2972.0,a
5945,2972.5,b
5946,2973.0,a
5947,2973.5,b
5948,2974.0,a
5949,2974.5,b
5950,2975.0,a
5951,2975.5,b
5952,2976.0,a
5953,2976.5,b
5954,2977.0,a
5955,2977.5,b
5956,2978.0,a
5957,2978.5,b
5958,2979.0,a
5959,2979.5,b
5960,2980.0,a
5961,2980.5,b
5962,2981.0,a
5963,2981.5,b
5964,2982.0,a
5965,2982.5,b
5966,2983.0,a
5967,2983.5,b
5968,2984.0,a
5969,2984.5,b
5970,2985.0,a
5971,2985.5,b
5972,2986.0,a
5973,2986.5,b
5974,2987.0,a
5975,2987.5,b
5976,2988.0,a
5977,2988.5,b
5978,2989.0,a
5979,2989.5,b
5980,2990.0,a
5981,2990.5,b
5982,2991.0,a
5983,2991.5,b
5984,2992.0,a
5985,2992.5,b
5986,2993.0,a
5987,2993.5,b
5988,2994.0,a
5989,2994.5,b
5990,2995.0,a
5991,2995.5,b
5992,2996.0,a
5993,2996.5,b
5994,2997.0,a
5995,2997.5,b
5996,2998.0,a
5997,2998.5,b
5998,2999.0,a
5999,2999.5,b
6000,3000.0,a
6001,3000.5,b
6002,3001.0,a
6003,3001.5,b
6004,3002.0,a
6005,3002.5,b
6006,3003.0,a
6007,3003.5,b
6008,3004.0,a
6009,3004.5,b
6010,3005.0,a
6011,3005.5,b
6012,3006.0,a
6013,3006.5,b
6014,3007.0,a
6015,3007.5,b
6016,3008.0,a
6017,3008.5,b
6018,3009.0,a
6019,3009.5,b
6020,3010.0,a
6021,3010.5,b
6022,3011.0,a
6023,3011.5,b
6024,3012.0,a
6025,3012.5,b
6026,3013.0,a
6027,3013.5,b
6028,3014.0,a
6029,3014.5,b
6030,3015.0,a
6031,3015.5,b
6032,3016.0,a
6033,3016.5,b
6034,3017.0,a
6035,3017.5,b
6036,3018.0,a
6037,3018.5,b
6038,3019.0,a
6039,3019.5,b
6040,3020.0,a
6041,3020.5,b
6042,3021.0,a
6043,3021.5,b
6044,3022.0,a
6045,3022.5,b
6046,3023.0,a
6047,3023.5,b
6048,3024.0,a
6049,3024.5,b
6050,3025.0,a
6051,3025.5,b
6052,3026.0,a
6053,3026.5,b
6054,3027.0,a
6055,3027.5,b
6056,3028.0,a
6057,3028.5,b
6058,3029.0,a
6059,3029.5,b
6060,3030.0,a
6061,3030.5,b
6062,3031.0,a
6063,3031.5,b
6064,3032.0,a
6065,3032.5,b
6066,3033.0,a
6067,3033.5,b
6068,3034.0,a
6069,3034.5,b
6070,3035.0,a
6071,3035.5,b
6072,3036.0,a
6073,3036.5,b
6074,3037.0,a
6075,3037.5,b
6076,3038.0,a
6077,3038.5,b
6078,3039.0,a
6079,3039.5,b
6080,3040.0,a
6081,3040.5,b
6082,3041.0,a
6083,3041.5,b
6084,3042.0,a
6085,3042.5,b
6086,3043.0,a
6087,3043.5,b
6088,3044.0,a
6089,3044.5,b
6090,3045.0,a
6091,3045.5,b
6092,3046.0,a
6093,3046.5,b
6094,3047.0,a
6095,3047.5,b
6096,3048.0,a
6097,3048.5,b
6098,3049.0,a
6099,3049.5,b
6100,3050.0,a
6101,3050.5,b
6102,3051.0,a
6103,3051.5,b
6104,3052.0,a
6105,3052.5,b
6106,3053.0,a
6107,3053.5,b
6108,3054.0,a
6109,3054.5,b
6110,3055.0,a
6111,3055.5,b
6112,3056.0,a
6113,3056.5,b
6114,3057.0,a
6115,3057.5,b
6116,3058.0,a
6117,3058.5,b
6118,3059.0,a
6119,3059.5,b
6120,3060.0,a
6121,3060.5,b
6122,3061.0,a
6123,3061.5,b
6124,3062.0,a
6125,3062.5,b
6126,3063.0,a
6127,3063.5,b
6128,3064.0,a
6129,3064.5,b
6130,3065.0,a
6131,3065.5,b
6132,3066.0,a
6133,3066.5,b
6134,3067.0,a
6135,3067.5,b
6136,3068.0,a
6137,3068.5,b
6138,3069.0,a
6139,3069.5,b
6140,3070.0,a
6141,3070.5,b
6142,3071.0,a
6143,3071.5,b
6144,3072.0,a
6145,3072.5,b
6146,3073.0,a
6147,3073.5,b
6148,3074.0,a
6149,3074.5,b
6150,3075.0,a
6151,3075.5,b
6152,3076.0,a
6153,3076.5,b
6154,3077.0,a
6155,3077.5,b
6156,3078.0,a
6157,3078.5,b
6158,3079.0,a
6159,3079.5,b
6160,3080.0,a
6161,3080.5,b
6162,3081.0,a
6163,3081.5,b
6164,3082.0,a
6165,3082.5,b
6166,3083.0,a
6167,3083.5,b
6168,3084.0,a
6169,3084.5,b
6170,3085.0,a
6171,3085.5,b
6172,3086.0,a
6173,3086.5,b
6174,3087.0,a
6175,3087.5,b
6176,3088.0,a
6177,3088.5,b
6178,3089.0,a
6179,3089.5,b
6180,3090.0,a
6181,3090.5,b
6182,3091.0,a
6183,3091.5,b
6184,3092.0,a
6185,3092.5,b
6186,3093.0,a
6187,3093.5,b
6188,3094.0,a
6189,3094.5,b
6190,3095.0,a
6191,3095.5,b
6192,3096.0,a
6193,3096.5,b
6194,3097.0,a
6195,3097.5,b
6196,3098.0,a
6197,3098.5,b
6198,3099.0,a
6199,3099.5,b
6200,3100.0,a
6201,3100.5,b
6202,3101.0,a
6203,3101.5,b
6204,3102.0,a
6205,3102.5,b
6206,3103.0,a
6207,3103.5,b
6208,3104.0,a
6209,3104.5,b
6210,3105.0,a
6211,3105.5,b
6212,3106.0,a
6213,3106.5,b
6214,3107.0,a
6215,3107.5,b
6216,3108.0,a
6217,3108.5,b
6218,3109.0,a
6219,3109.5,b
6220,3110.0,a
6221,3110.5,b
6222,3111.0,a
6223,3111.5,b
6224,3112.0,a
6225,3112.5,b
6226,3113.0,a
6227,3113.5,b
6228,3114.0,a
6229,3114.5,b
6230,3115.0,a
6231,3115.5,b
6232,3116.0,a
6233,3116.5,b
6234,3117.0,a
6235,3117.5,b
6236,3118.0,a
6237,3118.5,b
6238,3119.0,a
6239,3119.5,b
6240,3120.0,a
6241,3120.5,b
6242,3121.0,a
6243,3121.5,b
6244,3122.0,a
6245,3122.5,b
6246,3123.0,a
6247,3123.5,b
6248,3124.0,a
6249,3124.5,b
6250,3125.0,a
6251,3125.5,b
6252,3126.0,a
6253,3126.5,b
6254,3127.0,a
6255,3127.5,b
6256,3128.0,a
6257,3128.5,b
6258,3129.0,a
6259,3129.5,b
6260,3130.0,a
6261,3130.5,b
6262,3131.0,a
6263,3131.5,b
6264,3132.0,a
6265,3132.5,b
6266,3133.0,a
6267,3133.5,b
6268,3134.0,a
6269,3134.5,b
6270,3135.0,a
6271,3135.5,b
6272,3136.0,a
6273,3136.5,b
6274,3137.0,a
6275,3137.5,b
6276,3138.0,a
6277,3138.5,b
6278,3139.0,a
6279,3139.5,b
6280,3140.0,a
6281,3140.5,b
6282,3141.0,a
6283,3141.5,b
6284,3142.0,a
6285,3142.5,b
6286,3143.0,a
6287,3143.5,b
6288,3144.0,a
6289,3144.5,b
6290,3145.0,a
6291,3145.5,b
6292,3146.0,a
6293,3146.5,b
6294,3147.0,a
6295,3147.5,b
6296,3148.0,a
6297,3148.5,b
6298,3149.0,a
6299,3149.5,b
6300,3150.0,a
6301,3150.5,b
6302,3151.0,a
6303,3151.5,b
6304,3152.0,a
6305,3152.5,b
6306,3153.0,a
6307,3153.5,b
6308,3154.0,a
6309,3154.5,b
6310,3155.0,a
6311,3155.5,b
6312,3156.0,a
6313,3156.5,b
6314,3157.0,a
6315,3157.5,b
6316,3158.0,a
6317,3158.5,b
6318,3159.0,a
6319,3159.5,b
6320,3160.0,a
6321,3160.5,b
6322,3161.0,a
6323,3161.5,b
6324,3162.0,a
6325,3162.5,b
6326,3163.0,a
6327,3163.5,b
6328,3164.0,a
6329,3164.5,b
6330,3165.0,a
6331,3165.5,b
6332,3166.0,a
6333,3166.5,b
6334,3167.0,a
6335,3167.5,b
6336,3168.0,a
6337,3168.5,b
6338,3169.0,a
6339,3169.5,b
6340,3170.0,a
6341,3170.5,b
6342,3171.0,a
6343,3171.5,b
6344,3172.0,a
6345,3172.5,b
6346,3173.0,a
6347,3173.5,b
6348,3174.0,a
6349,3174.5,b
6350,3175.0,a
6351,3175.5,b
6352,3176.0,a
6353,3176.5,b
6354,3177.0,a
6355,3177.5,b
6356,3178.0,a
6357,3178.5,b
6358,3179.0,a
6359,3179.5,b
6360,3180.0,a
6361,3180.5,b
6362,3181.0,a
6363,3181.5,b
6364,3182.0,a
6365,3182.5,b
6366,3183.0,a
6367,3183.5,b
6368,3184.0,a
6369,3184.5,b
6370,3185.0,a
6371,3185.5,b
6372,3186.0,a
6373,3186.5,b
6374,3187.0,a
6375,3187.5,b
6376,3188.0,a
6377,3188.5,b
6378,3189.0,a
6379,3189.5,b
6380,3190.0,a
6381,3190.5,b
6382,3191.0,a
6383,3191.5,b
6384,3192.0,a
6385,3192.5,b
6386,3193.0,a
6387,3193.5,b
6388,3194.0,a
6389,3194.5,b
6390,3195.0,a
6391,3195.5,b
6392,3196.0,a
6393,3196.5,b
6394,3197.0,a
6395,3197.5,b
6396,3198.0,a
6397,3198.5,b
6398,3199.0,a
6399,3199.5,b
6400,3200.0,a
6401,3200.5,b
6402,3201.0,a
6403,3201.5,b
6404,3202.0,a
6405,3202.5,b
6406,3203.0,a
6407,3203.5,b
6408,3204.0,a
6409,3204.5,b
6410,3205.0,a
6411,3205.5,b
6412,3206.0,a
6413,3206.5,b
6414,3207.0,a
6415,3207.5,b
6416,3208.0,a
6417,3208.5,b
6418,3209.0,a
6419,3209.5,b
6420,3210.0,a
6421,3210.5,b
6422,3211.0,a
6423,3211.5,b
6424,3212.0,a
6425,3212.5,b
6426,3213.0,a
6427,3213.5,b
6428,3214.0,a
6429,3214.5,b
6430,3215.0,a
6431,3215.5,b
6432,3216.0,a
6433,3216.5,b
6434,3217.0,a
6435,3217.5,b
6436,3218.0,a
6437,3218.5,b
6438,3219.0,a
6439,3219.5,b
6440,3220.0,a
6441,3220.5,b
6442,3221.0,a
6443,3221.5,b
6444,3222.0,a
6445,3222.5,b
6446,3223.0,a
6447,3223.5,b
6448,3224.0,a
6449,3224.5,b
6450,3225.0,a
6451,3225.5,b
6452,3226.0,a
6453,3226.5,b
6454,3227.0,a
6455,3227.5,b
6456,3228.0,a
6457,3228.5,b
6458,3229.0,a
6459,3229.5,b
6460,3230.0,a
6461,3230.5,b
6462,3231.0,a
6463,3231.5,b
6464,3232.0,a
6465,3232.5,b
6466,3233.0,a
6467,3233.5,b
6468,3234.0,a
6469,3234.5,b
6470,3235.0,a
6471,3235.5,b
6472,3236.0,a
6473,3236.5,b
6474,3237.0,a
6475,3237.5,b
6476,3238.0,a
6477,3238.5,b
6478,3239.0,a
6479,3239.5,b
6480,3240.0,a
6481,3240.5,b
6482,3241.0,a
6483,3241.5,b
6484,3242.0,a
6485,3242.5,b
6486,3243.0,a
6487,3243.5,b
6488,3244.0,a
6489,3244.5,b
6490,3245.0,a
6491,3245.5,b
6492,3246.0,a
6493,3246.5,b
6494,3247.0,a
6495,3247.5,b
6496,3248.0,a
6497,3248.5,b
6498,3249.0,a
6499,3249.5,b
6500,3250.0,a
6501,3250.5,b
6502,3251.0,a
6503,3251.5,b
6504,3252.0,a
6505,3252.5,b
6506,3253.0,a
6507,3253.5,b
6508,3254.0,a
6509,3254.5,b
6510,3255.0,a
6511,3255.5,b
6512,3256.0,a
6513,3256.5,b
6514,3257.0,a
6515,3257.5,b
6516,3258.0,a
6517,3258.5,b
6518,3259.0,a
6519,3259.5,b
6520,3260.0,a
6521,3260.5,b
6522,3261.0,a
6523,3261.5,b
6524,3262.0,a
6525,3262.5,b
6526,3263.0,a
6527,3263.5,b
6528,3264.0,a
6529,3264.5,b
6530,3265.0,a
6531,3265.5,b
6532,3266.0,a
6533,3266.5,b
6534,3267.0,a
6535,3267.5,b
6536,3268.0,a
6537,3268.5,b
6538,3269.0,a
6539,3269.5,b
6540,3270.0,a
6541,3270.5,b
6542,3271.0,a
6543,3271.5,b
6544,3272.0,a
6545,3272.5,b
6546,3273.0,a
6547,3273.5,b
6548,3274.0,a
6549,3274.5,b
6550,3275.0,a
6551,3275.5,b
6552,3276.0,a
6553,3276.5,b
6554,3277.0,a
6555,3277.5,b
6556,3278.0,a
6557,3278.5,b
6558,3279.0,a
6559,3279.5,b
6560,3280.0,a
6561,3280.5,b
6562,3281.0,a
6563,3281.5,b
6564,3282.0,a
6565,3282.5,b
6566,3283.0,a
6567,3283.5,b
6568,3284.0,a
6569,3284.5,b
6570,3285.0,a
6571,3285.5,b
6572,3286.0,a
6573,3286.5,b
6574,3287.0,a
6575,3287.5,b
6576,3288.0,a
6577,3288.5,b
6578,3289.0,a
6579,3289.5,b
6580,3290.0,a
6581,3290.5,b
6582,3291.0,a
6583,3291.5,b
6584,3292.0,a
6585,3292.5,b
6586,3293.0,a
6587,3293.5,b
6588,3294.0,a
6589,3294.5,b
6590,3295.0,a
6591,3295.5,b
6592,3296.0,a
6593,3296.5,b
6594,3297.0,a
6595,3297.5,b
6596,3298.0,a
6597,3298.5,b
6598,3299.0,a
6599,3299.5,b
6600,3300.0,a
6601,3300.5,b
6602,3301.0,a
6603,3301.5,b
6604,3302.0,a
6605,3302.5,b
6606,3303.0,a
6607,3303.5,b
6608,3304.0,a
6609,3304.5,b
6610,3305.0,a
6611,3305.5,b
6612,3306.0,a
6613,3306.5,b
6614,3307.0,a
6615,3307.5,b
6616,3308.0,a
6617,3308.5,b
6618,3309.0,a
6619,3309.5,b
6620,3310.0,a
6621,3310.5,b
6622,3311.0,a
6623,3311.5,b
6624,3312.0,a
6625,3312.5,b
6626,3313.0,a
6627,3313.5,b
6628,3314.0,a
6629,3314.5,b
6630,3315.0,a
6631,3315.5,b
6632,3316.0,a
6633,3316.5,b
6634,3317.0,a
6635,3317.5,b
6636,3318.0,a
6637,3318.5,b
6638,3319.0,a
6639,3319.5,b
6640,3320.0,a
6641,3320.5,b
6642,3321.0,a
6643,3321.5,b
6644,3322.0,a
6645,3322.5,b
6646,3323.0,a
6647,3323.5,b
6648,3324.0,a
6649,3324.5,b
6650,3325.0,a
6651,3325.5,b
6652,3326.0,a
6653,3326.5,b
6654,3327.0,a
6655,3327.5,b
6656,3328.0,a
6657,3328.5,b
6658,3329.0,a
6659,3329.5,b
6660,3330.0,a
6661,3330.5,b
6662,3331.0,a
6663,3331.5,b
6664,3332.0,a
6665,3332.5,b
6666,3333.0,a
6667,3333.5,b
6668,3334.0,a
6669,3334.5,b
6670,3335.0,a
6671,3335.5,b
6672,3336.0,a
6673,3336.5,b
6674,3337.0,a
6675,3337.5,b
6676,3338.0,a
6677,3338.5,b
6678,3339.0,a
6679,3339.5,b
6680,3340.0,a
6681,3340.5,b
6682,3341.0,a
6683,3341.5,b
6684,3342.0,a
6685,3342.5,b
6686,3343.0,a
6687,3343.5,b
6688,3344.0,a
6689,3344.5,b
6690,3345.0,a
6691,3345.5,b
6692,3346.0,a
6693,3346.5,b
6694,3347.0,a
6695,3347.5,b
6696,3348.0,a
6697,3348.5,b
6698,3349.0,a
6699,3349.5,b
6700,3350.0,a
6701,3350.5,b
6702,3351.0,a
6703,3351.5,b
6704,3352.0,a
6705,3352.5,b
6706,3353.0,a
6707,3353.5,b
6708,3354.0,a
6709,3354.5,b
6710,3355.0,a
6711,3355.5,b
6712,3356.0,a
6713,3356.5,b
6714,3357.0,a
6715,3357.5,b
6716,3358.0,a
6717,3358.5,b
6718,3359.0,a
6719,3359.5,b
6720,3360.0,a
6721,3360.5,b
6722,3361.0,a
6723,3361.5,b
6724,3362.0,a
6725,3362.5,b
6726,3363.0,a
6727,3363.5,b
6728,3364.0,a
6729,3364.5,b
6730,3365.0,a
6731,3365.5,b
6732,3366.0,a
6733,3366.5,b
6734,3367.0,a
6735,3367.5,b
6736,3368.0,a
6737,3368.5,b
